Price,Close,High,Low,Open,Volume
Ticker,PEP,PEP,PEP,PEP,PEP
Date,,,,,
2020-03-06,119.6841049194336,120.47758428801643,114.6180668514388,114.71398208615683,6754900
2020-03-09,113.49327087402344,116.2747997691145,111.76679640504416,113.51070033376021,8716300
2020-03-10,116.96361541748047,117.3385616148444,110.61580729659333,115.14123932532846,8258600
2020-03-11,113.13575744628906,115.56849735917304,111.28721704919641,113.85947910978177,7465100
2020-03-12,100.57093811035156,108.99399742450048,99.04502214640856,106.46533535375893,12808300
2020-03-13,111.13028717041016,111.25235992637602,100.33552308344088,105.22717466274791,12007700
2020-03-16,98.6090316772461,107.96507796943538,97.65860735244553,100.00415996139564,10733300
2020-03-17,111.36571502685547,111.48778777961546,101.48649686907756,101.75679987126526,14242300
2020-03-18,105.43641662597656,111.36569189623687,99.20195953720243,105.36665888104062,15250800
2020-03-19,102.31483459472656,106.45660619428828,101.19873720702857,105.88112138921002,9393500
2020-03-20,90.62197875976562,103.28271986932091,88.43337720479079,103.09961073320265,13093200
2020-03-23,91.7119140625,98.41722724942115,89.69770701778002,92.42691445539593,13926800
2020-03-24,99.26300811767578,99.77746323431386,95.36538843730392,95.85367940702234,11447000
2020-03-25,98.09458923339844,101.46032411618158,96.82154025142081,98.30385582773945,9485500
2020-03-26,104.86093139648438,106.2037380444562,98.16434091901426,98.27769226468405,10376800
2020-03-27,105.03533172607422,108.6888125471852,102.88160933231569,103.38734306292811,9852500
2020-03-30,109.41252899169922,109.7264255601726,105.95087883201853,106.03807269284253,6916800
2020-03-31,104.72142028808594,109.60434952432102,104.22440797864257,108.94167088003984,7091700
2020-04-01,102.99495697021484,106.63971604197606,100.85867090364663,102.2537925609671,6873000
2020-04-02,107.9999771118164,109.1509535055361,101.56497363590171,102.21021626432152,6181800
2020-04-03,108.63648986816406,109.31661797479872,106.76179850435184,107.41576246450926,5552000
2020-04-06,114.3652114868164,115.21100587268704,109.24685156918105,112.18533179229,8242200
2020-04-07,113.77227783203125,117.78326181099348,113.60660484567113,115.71674010833907,6253900
2020-04-08,115.62955474853516,116.2224757195853,112.59516552713328,113.0398562554209,5241100
2020-04-09,116.51895904541016,117.78328688238332,114.67041161483209,115.17614541060789,5502400
2020-04-13,114.12976837158203,116.27477561243624,112.8567129139334,114.82733245913217,3785000
2020-04-14,120.67814636230469,120.8787048933535,115.40284762987761,116.16144158014158,6278700
2020-04-15,117.73968505859375,119.94572269590365,116.57998722750895,119.57950442897149,5773100
2020-04-16,118.27157592773438,119.43127375472812,116.71078760715326,119.43127375472812,4564000
2020-04-17,119.93698120117188,120.32935687783107,117.63502881918447,120.09392614986375,4866500
2020-04-20,117.32112884521484,119.78875427756539,117.28624331903701,119.40509331918864,3995400
2020-04-21,114.17339324951172,115.91729719209187,113.8682047375877,115.21973295407356,4359500
2020-04-22,115.63827514648438,116.55382744835656,114.41754761394296,115.48133016584286,4084600
2020-04-23,113.5804672241211,116.96364537555719,113.37992198156722,115.5336445711754,5527700
2020-04-24,117.15547180175781,117.55657557780926,113.92052401241318,114.11235451770757,4063100
2020-04-27,117.24266815185547,117.89663213165069,116.74564914084412,117.20778262217158,4009200
2020-04-28,118.864501953125,120.0503438896835,117.41705845301054,119.26559241874178,6674200
2020-04-29,116.28353118896484,119.43999349540472,115.88242737362071,119.25689100737056,6706800
2020-04-30,115.35055541992188,116.11787764500589,113.72000899655357,115.45519873557393,6783000
2020-05-01,113.47582244873047,115.29819877014789,112.93521651537402,114.33033160579431,4488000
2020-05-04,114.15594482421875,114.53089107184579,112.76082972229091,113.50198087817836,5245300
2020-05-05,114.8099136352539,116.25735709034109,114.02516218872432,114.78375614069832,3580000
2020-05-06,114.03386688232422,115.29819445931606,113.95539440556395,114.73143105391867,4192200
2020-05-07,114.70528411865234,115.09765984349622,113.45838588511693,114.70528411865234,5528000
2020-05-08,117.04212188720703,117.85304422572065,115.49877631266271,116.03066760418118,4209100
2020-05-11,117.17290496826172,118.75985056713674,116.11783727557516,116.3445399882914,3591100
2020-05-12,115.91730499267578,118.9168221045533,115.84754723368653,117.50425076865204,3914600
2020-05-13,115.93473815917969,117.25138082563622,114.61808218779217,116.12655534935243,5168500
2020-05-14,116.03937530517578,116.45790854538039,113.48454899251632,115.71675731844846,5522200
2020-05-15,118.54185485839844,120.03289842024056,115.78648373758563,116.64100615545058,20338200
2020-05-18,118.16693115234375,120.32065351798231,117.7658274040154,119.32662883422073,8480300
2020-05-19,114.86222839355469,117.50424177780799,114.57448264909043,117.21649603334373,6640300
2020-05-20,114.4524154663086,115.69058571767991,113.6502212177412,115.56851296909208,8213100
2020-05-21,113.53687286376953,114.60937007089632,113.01369635520797,114.20826630700827,4886300
2020-05-22,113.77227783203125,113.90307859728232,112.63002299545974,113.01368395230845,3429200
2020-05-26,113.13575744628906,115.14124944929019,112.83056896357566,115.0453342094314,5579300
2020-05-27,114.06002807617188,114.08618556927419,112.11557902762789,113.10960368030688,5686500
2020-05-28,115.35055541992188,115.73421653246388,113.44970593224495,114.40885871359997,4974400
2020-05-29,114.70528411865234,115.30693310571415,113.63278692276413,115.10637457340611,13337900
2020-06-01,115.96087646484375,116.79794275502705,114.39136053958906,114.7488639762999,4049200
2020-06-02,115.64698028564453,116.67587710151854,114.33032445236864,116.0131984729012,5327500
2020-06-03,115.81263732910156,117.0856794279309,115.62080688052272,116.1788554659536,5421200
2020-06-04,114.73445129394531,117.361814927796,114.39173769836464,115.63073584050969,5229700
2020-06-05,116.377685546875,117.32670480969281,114.91022467261718,115.1123265297846,7075700
2020-06-08,116.17556762695312,116.40402998137176,115.32320822379606,115.44622847743719,5613000
2020-06-09,116.8433837890625,117.00154693189515,115.1562432245075,115.84164365985168,6446900
2020-06-10,117.86270141601562,118.76778181684908,117.01912443431974,117.11578415713696,7069900
2020-06-11,112.33554077148438,118.75019826478754,112.00162964681913,117.94177762353463,8541000
2020-06-12,113.35486602783203,114.17206909116574,111.97527606604493,113.48666864830474,7039500
2020-06-15,114.6553726196289,115.0771678395942,111.18443158056878,112.73097382916869,5481000
2020-06-16,115.70105743408203,116.9224776623158,114.33903879195881,116.58855978137903,5197700
2020-06-17,115.78016662597656,116.9049273889284,115.5429218301862,115.89440454053143,3309700
2020-06-18,116.67644500732422,116.98400238241463,114.78720229806494,115.48138522510985,3417200
2020-06-19,115.35835266113281,118.46902875761158,115.30563161004032,118.10875036420998,8310100
2020-06-22,115.15626525878906,115.78014898582843,114.18966784030061,114.71690523369503,3379900
2020-06-23,115.42864990234375,116.58855323125977,115.094732040167,115.6571122559267,3625600
2020-06-24,113.84695434570312,115.17383004876054,113.07367650064728,114.69053139560063,4853500
2020-06-25,115.47260284423828,115.75378628275091,112.5201029947356,113.47790461348109,4442000
2020-06-26,113.2933578491211,116.31615665262477,112.52887577561032,115.70983773575657,7372700
2020-06-29,115.18260955810547,115.46379296228015,113.73271363466695,114.39175357944755,4173900
2020-06-30,116.21949768066406,116.71159212368629,114.98051272092266,115.84165453185705,4626700
2020-07-01,116.307373046875,117.41455535624195,115.93831227708601,116.45675382929895,3633000
2020-07-02,116.73796844482422,117.89787198266434,116.4655539560742,117.34427403948816,2769200
2020-07-06,117.13336944580078,117.70453203748397,116.26343188744129,116.94004998838756,4221600
2020-07-07,117.37063598632812,118.29328125308687,116.1404199503114,116.22829731295653,4424500
2020-07-08,117.94180297851562,118.35480246344842,117.01036189614074,117.88908192226097,3798200
2020-07-09,116.61492919921875,117.69575097169871,115.75377400365376,116.78187472501796,4005200
2020-07-10,118.1527099609375,118.53055316612954,115.35837308449871,116.31617477078997,5932800
2020-07-13,118.54813385009766,121.32489262953392,118.16149485445402,120.18255379918813,8960000
2020-07-14,119.08413696289062,120.34070011438153,117.96815881975883,118.26692039880105,6766800
2020-07-15,117.47608184814453,119.67288190242742,117.08944289327819,118.9347603021572,5561300
2020-07-16,117.64301300048828,118.06479475695359,116.91367394581268,117.80117613108767,3788100
2020-07-17,118.32843780517578,118.67992044007428,117.3530580738989,118.31964202397133,3229300
2020-07-20,116.96642303466797,118.28450307183655,116.14920643935763,118.28450307183655,3620300
2020-07-21,118.12633514404297,119.8662105744016,117.56395482333636,117.74849194166087,5435400
2020-07-22,119.51470184326172,119.72559946927997,117.46728264335314,119.11928052665516,3522300
2020-07-23,120.45494079589844,120.60432158888204,119.0577791954605,120.02436316327274,5011400
2020-07-24,119.55863952636719,121.8257387063712,118.96989874287745,120.37585608818632,3300000
2020-07-27,120.97339630126953,121.05247789344,118.49541255582764,119.09293579649986,3607700
2020-07-28,120.71855926513672,121.78180296864915,120.46372295364138,121.24578322621785,3787500
2020-07-29,121.20185089111328,122.14208778699425,120.41979057758228,120.71856558686463,3179000
2020-07-30,120.99095916748047,121.45667969567938,119.9277020659187,120.595537848395,2817600
2020-07-31,120.96459197998047,120.99973487850072,118.802934995419,120.61309595376595,4304100
2020-08-03,120.12102508544922,120.82400378913582,119.50592374779978,120.48130351471659,2819200
2020-08-04,120.79765319824219,120.90309531959801,119.523511735109,120.84159188487533,2553500
2020-08-05,119.72561645507812,121.39517932126145,119.30383455140534,121.39517932126145,2924000
2020-08-06,119.38288879394531,119.76073192337552,118.86444725943332,118.86444725943332,2692900
2020-08-07,120.1561508178711,120.17371556004582,118.95229556889556,119.45317229307811,3692100
2020-08-10,119.48836517333984,120.27922137266007,118.96114111533211,119.78714022190388,3052000
2020-08-11,118.7326431274414,120.78006235398125,118.29328312367413,120.3582805046616,3301200
2020-08-12,121.08761596679688,121.86088043188178,118.84687733539471,118.9259589156529,4424600
2020-08-13,121.35124969482422,121.79939211341069,120.47252960552991,120.47252960552991,2393500
2020-08-14,120.87672424316406,121.41274399363128,120.56038449849156,121.3600229375531,2461700
2020-08-17,121.19303894042969,122.0453982594092,120.4285569688875,120.82397821595413,2862500
2020-08-18,121.36002349853516,121.79938351215549,120.41978663344996,121.79938351215549,2638600
2020-08-19,119.90135955810547,121.95756145293217,119.59381555624284,121.86969748448793,3682200
2020-08-20,120.13858795166016,120.51643107948843,119.18078646147973,119.20714698629557,2263000
2020-08-21,119.91012573242188,120.0858670341214,118.84686873360667,119.83103074968551,4295600
2020-08-24,120.94701385498047,120.98215675350896,119.60257339887539,119.91013074585992,3177800
2020-08-25,120.64824676513672,121.59726588038588,120.12100945393104,121.49181037322366,2597400
2020-08-26,121.67637634277344,121.84333531123437,119.83985450611316,120.01559584883861,6019700
2020-08-27,121.61483764648438,122.95927811866156,121.18427344540177,121.887252098197,4159300
2020-08-28,122.96805572509766,122.98563387607523,120.5955148547482,121.72027516970203,3355400
2020-08-31,123.07352447509766,123.91710159815139,122.14208339452392,122.42328023827632,3828700
2020-09-01,122.30905151367188,123.44259453054428,121.71151488000397,123.24049266407337,3421700
2020-09-02,125.91178894042969,126.377522898318,122.4496432372398,122.59902403542128,4918200
2020-09-03,123.34784698486328,127.4809763508958,122.24154854091604,126.35698685517158,6642400
2020-09-04,122.80795288085938,124.1797654297283,121.19718963018906,123.60449573404979,4836400
2020-09-08,119.96698760986328,122.6929081792889,118.95804412351761,122.40968933874814,4901500
2020-09-09,121.34765625,122.54246389244449,119.83423413654491,119.92274340806627,4282300
2020-09-10,119.2677993774414,121.7370646858502,118.48897457623579,120.89628069912791,6050500
2020-09-11,120.19709777832031,120.70157629474117,118.79873508049853,119.67492821209457,3411900
2020-09-14,120.9582290649414,121.69281275521797,120.18824977116795,120.83432419577537,2779000
2020-09-15,120.02894592285156,121.46271782090044,119.84309535572794,120.7900797561356,4080800
2020-09-16,119.4625244140625,120.89629634484388,119.28551936836412,120.61307746803098,3353500
2020-09-17,117.88715362548828,119.08196128740086,116.55075003330064,118.05531314134757,5186400
2020-09-18,116.35604095458984,119.29436246632052,115.0638784885112,118.3385325380771,8473000
2020-09-21,116.15248107910156,116.2144267642222,114.48860404131166,115.38248824532724,4402700
2020-09-22,116.95783996582031,117.61277335999894,115.45327711907028,115.94005102659382,3951000
2020-09-23,115.9400634765625,117.55084030631618,114.92227442804298,117.44462648487671,5909900
2020-09-24,116.45340728759766,117.09948183231809,114.98423963390864,116.32950239539619,4316600
2020-09-25,118.19690704345703,118.44471676964632,115.50638215252019,115.8427011400416,4576000
2020-09-28,122.1087875366211,122.64866167061837,120.07319587542068,120.4006558649438,7487500
2020-09-29,121.39192199707031,123.49830510496973,121.36537191410746,122.71948016369281,4330500
2020-09-30,122.66637420654297,123.18854381965343,121.16179755170762,122.12650003741977,7060700
2020-10-01,124.61343383789062,124.65768846748482,121.68395832062251,123.40978083786025,6483900
2020-10-02,122.18843078613281,123.82575764931347,120.54225839833705,123.26817899235465,5130200
2020-10-05,122.0733871459961,122.47166538340947,121.23260304240463,122.23270114188534,4519800
2020-10-06,120.0997543334961,122.86108438581483,119.61298032550565,122.13534613669827,5031000
2020-10-07,121.2591323852539,121.71051070922434,120.15283414747093,120.3121481161126,4347300
